dd,mm,cc,clusters
1,2,1,1
1,2,2,2
1,2,3,3
1,2,4,4
1,2,5,5
1,2,6,6
1,2,7,7
1,2,8,8
1,2,9,9
1,2,10,10
1,2,11,11
1,2,12,12
1,2,13,13
1,2,14,14
1,2,15,15
1,2,16,16
1,2,17,17
1,2,18,18
1,2,19,19
1,2,20,20
1,2,21,21
1,2,22,22
1,2,23,14
1,2,24,23
1,5,1,1
1,5,2,1
1,5,3,3
1,5,4,8
1,5,5,6
1,5,6,4
1,5,7,5
1,5,8,2
1,5,9,2
1,5,10,1
1,5,11,7
1,5,12,10
1,5,13,8
1,5,14,24
1,5,15,25
1,5,16,12
1,5,17,14
1,5,18,13
1,5,19,17
1,5,20,26
1,5,21,18
1,5,22,20
1,5,23,22
1,5,24,21
2,2,1,27
2,2,2,28
2,2,3,29
2,2,4,30
2,2,5,31
2,2,6,32
2,2,7,33
2,2,8,34
2,2,9,35
2,2,10,36
2,2,11,29
2,2,12,37
2,2,13,38
2,2,14,39
2,2,15,40
2,2,16,41
2,2,17,34
2,2,18,42
2,2,19,43
2,2,20,35
2,2,21,44
2,2,22,45
2,2,23,46
2,2,24,47
2,5,1,28
2,5,2,27
2,5,3,30
2,5,4,29
2,5,5,32
2,5,6,31
2,5,7,37
2,5,8,28
2,5,9,36
2,5,10,32
2,5,11,33
2,5,12,38
2,5,13,40
2,5,14,39
2,5,15,34
2,5,16,35
2,5,17,41
2,5,18,34
2,5,19,42
2,5,20,47
2,5,21,43
2,5,22,46
2,5,23,45
2,5,24,44
3,2,1,48
3,2,2,49
3,2,3,50
3,2,4,51
3,2,5,49
3,2,6,50
3,2,7,52
3,2,8,49
3,2,9,53
3,2,10,54
3,2,11,55
3,2,12,48
3,2,13,56
3,2,14,57
3,2,15,58
3,2,16,59
3,2,17,60
3,2,18,61
3,2,19,61
3,2,20,62
3,2,21,63
3,2,22,64
3,2,23,65
3,2,24,61
3,5,1,48
3,5,2,50
3,5,3,57
3,5,4,52
3,5,5,48
3,5,6,49
3,5,7,53
3,5,8,55
3,5,9,52
3,5,10,49
3,5,11,51
3,5,12,54
3,5,13,56
3,5,14,58
3,5,15,55
3,5,16,59
3,5,17,48
3,5,18,60
3,5,19,61
3,5,20,63
3,5,21,62
3,5,22,61
3,5,23,64
3,5,24,65
4,2,1,1
4,2,2,5
4,2,3,2
4,2,4,7
4,2,5,6
4,2,6,4
4,2,7,8
4,2,8,9
4,2,9,10
4,2,10,11
4,2,11,25
4,2,12,12
4,2,13,15
4,2,14,66
4,2,15,13
4,2,16,14
4,2,17,67
4,2,18,68
4,2,19,16
4,2,20,19
4,2,21,69
4,2,22,68
4,2,23,21
4,2,24,23
4,5,1,1
4,5,2,3
4,5,3,6
4,5,4,5
4,5,5,3
4,5,6,6
4,5,7,1
4,5,8,2
4,5,9,4
4,5,10,67
4,5,11,1
4,5,12,12
4,5,13,25
4,5,14,24
4,5,15,15
4,5,16,66
4,5,17,11
4,5,18,14
4,5,19,13
4,5,20,26
4,5,21,68
4,5,22,19
4,5,23,21
4,5,24,69
